transaction_id,Product1,Product2,Product3
1,juice,salsa,bread
2,bread,egg,dairy
3,juice,fruits,dairy
4,salad,butter,egg
5,butter,salad,dairy
6,bread,egg,salad
7,egg,dairy,bread
8,butter,dairy,salsa
9,salsa,dairy,salad
10,fruits,egg,salad
11,fruits,juice,egg
12,fruits,salsa,butter
13,bread,dairy,salsa
14,egg,juice,butter
15,dairy,egg,juice
16,fruits,dairy,bread
17,bread,egg,dairy
18,salsa,bread,butter
19,dairy,juice,fruits
20,bread,dairy,juice
21,salsa,egg,salad
22,juice,salsa,butter
23,fruits,egg,bread
24,fruits,salad,butter
25,butter,bread,dairy
26,bread,salad,egg
27,egg,butter,bread
28,dairy,fruits,salad
29,salsa,fruits,juice
30,dairy,bread,egg
31,egg,bread,butter
32,dairy,salad,egg
33,fruits,juice,bread
34,egg,salsa,salad
35,dairy,salsa,bread
36,dairy,butter,fruits
37,salad,fruits,bread
38,bread,dairy,butter
39,salad,juice,bread
40,bread,egg,juice
41,dairy,salsa,butter
42,egg,bread,salad
43,butter,egg,juice
44,fruits,butter,salsa
45,egg,butter,dairy
46,fruits,butter,egg
47,egg,dairy,salsa
48,egg,dairy,fruits
49,bread,fruits,salad
50,dairy,fruits,butter
51,dairy,salad,salsa
52,dairy,egg,bread
53,egg,salsa,butter
54,egg,juice,salsa
55,dairy,fruits,salad
56,juice,bread,fruits
57,bread,salad,butter
58,dairy,salad,juice
59,dairy,juice,fruits
60,butter,egg,salad
61,butter,salsa,salad
62,dairy,butter,salsa
63,salad,bread,juice
64,salsa,salad,dairy
65,juice,bread,egg
66,egg,salsa,bread
67,egg,butter,juice
68,bread,salsa,dairy
69,juice,salsa,egg
70,salad,juice,bread
71,salad,juice,egg
72,salad,egg,juice
73,fruits,egg,salad
74,dairy,salsa,fruits
75,salsa,egg,butter
76,salad,butter,fruits
77,fruits,salad,butter
78,egg,salad,bread
79,salsa,butter,egg
80,salsa,butter,dairy
81,salsa,egg,dairy
82,butter,salsa,dairy
83,salsa,butter,egg
84,butter,juice,dairy
85,salad,butter,fruits
86,salad,butter,salsa
87,salsa,juice,dairy
88,salad,bread,salsa
89,fruits,dairy,juice
90,butter,fruits,egg
91,salad,bread,butter
92,dairy,juice,butter
93,dairy,salad,juice
94,bread,dairy,egg
95,bread,fruits,juice
96,fruits,salad,juice
97,salsa,egg,butter
98,bread,egg,dairy
99,salsa,salad,dairy
100,juice,butter,fruits
101,juice,butter,egg
102,fruits,egg,butter
103,dairy,salsa,juice
104,bread,salsa,salad
105,salad,juice,bread
106,salsa,egg,bread
107,fruits,juice,butter
108,butter,salsa,juice
109,fruits,salsa,dairy
110,salad,juice,salsa
111,salad,egg,bread
112,dairy,bread,juice
113,salsa,butter,dairy
114,egg,dairy,butter
115,salad,butter,juice
116,juice,fruits,salad
117,fruits,salsa,egg
118,juice,fruits,butter
119,dairy,fruits,butter
120,dairy,egg,juice
121,salsa,fruits,juice
122,salad,egg,salsa
123,bread,salad,butter
124,salsa,salad,butter
125,fruits,salad,juice
126,bread,salsa,butter
127,bread,juice,dairy
128,dairy,juice,salsa
129,dairy,butter,fruits
130,butter,salad,egg
131,salsa,juice,dairy
132,salad,fruits,bread
133,bread,salsa,fruits
134,dairy,bread,butter
135,bread,butter,egg
136,fruits,dairy,salad
137,fruits,egg,bread
138,butter,salad,egg
139,salsa,egg,juice
140,salad,butter,dairy
141,salad,fruits,juice
142,dairy,bread,fruits
143,egg,dairy,bread
144,juice,fruits,butter
145,salsa,fruits,egg
146,juice,butter,egg
147,dairy,juice,salsa
148,salad,juice,egg
149,egg,fruits,dairy
150,juice,dairy,bread
151,butter,fruits,bread
152,butter,dairy,salsa
153,egg,juice,bread
154,fruits,egg,butter
155,egg,fruits,salsa
156,egg,juice,fruits
157,fruits,salsa,butter
158,juice,dairy,butter
159,salad,salsa,bread
160,juice,bread,salsa
161,egg,salsa,dairy
162,juice,fruits,egg
163,egg,fruits,salsa
164,fruits,butter,bread
165,salad,bread,butter
166,bread,salad,salsa
167,bread,juice,dairy
168,salad,fruits,egg
169,butter,fruits,egg
170,fruits,dairy,egg
171,bread,salad,juice
172,salad,butter,juice
173,bread,salad,fruits
174,salsa,juice,dairy
175,butter,juice,egg
176,egg,salsa,juice
177,egg,dairy,salsa
178,bread,fruits,salsa
179,fruits,juice,salad
180,butter,egg,juice
181,salsa,juice,dairy
182,juice,salsa,fruits
183,dairy,butter,bread
184,butter,dairy,salad
185,salsa,fruits,bread
186,salsa,egg,bread
187,egg,juice,salsa
188,butter,salsa,bread
189,egg,salsa,bread
190,salsa,butter,bread
191,salsa,juice,bread
192,salad,salsa,bread
193,dairy,juice,fruits
194,fruits,salad,butter
195,salad,salsa,egg
196,salsa,salad,bread
197,butter,fruits,egg
198,salad,egg,juice
199,juice,butter,bread
200,dairy,egg,fruits
201,dairy,juice,salsa
202,salad,egg,juice
203,dairy,bread,fruits
204,juice,salsa,butter
205,juice,salad,salsa
206,salad,dairy,egg
207,bread,butter,fruits
208,salsa,butter,bread
209,fruits,salsa,bread
210,juice,salad,bread
211,bread,dairy,juice
212,butter,dairy,bread
213,salad,dairy,bread
214,juice,bread,egg
215,salsa,bread,fruits
216,salad,dairy,butter
217,dairy,egg,juice
218,dairy,butter,fruits
219,butter,bread,salsa
220,dairy,juice,fruits
221,juice,fruits,dairy
222,juice,salad,butter
223,dairy,salad,bread
224,butter,fruits,salsa
225,salsa,juice,bread
226,butter,salsa,bread
227,dairy,butter,bread
228,fruits,egg,juice
229,butter,salsa,egg
230,salsa,salad,egg
231,dairy,egg,butter
232,fruits,butter,salad
233,egg,salsa,juice
234,salad,dairy,juice
235,dairy,salad,salsa
236,butter,salsa,bread
237,dairy,salad,salsa
238,salsa,dairy,bread
239,butter,salsa,bread
240,dairy,juice,egg
241,butter,juice,salad
242,fruits,salad,egg
243,juice,egg,butter
244,juice,dairy,bread
245,dairy,butter,egg
246,butter,egg,fruits
247,salsa,fruits,butter
248,dairy,salad,bread
249,fruits,salad,juice
250,salad,juice,fruits
251,butter,egg,fruits
252,butter,egg,salsa
253,salsa,juice,dairy
254,fruits,bread,butter
255,salad,juice,dairy
256,dairy,salad,bread
257,juice,fruits,egg
258,bread,dairy,butter
259,salsa,butter,juice
260,bread,dairy,fruits
261,bread,juice,salad
262,butter,salad,egg
263,salad,salsa,egg
264,butter,salsa,juice
265,salad,egg,juice
266,salad,egg,fruits
267,salad,juice,dairy
268,salad,juice,fruits
269,egg,salad,fruits
270,dairy,salad,butter
271,bread,fruits,egg
272,salad,salsa,juice
273,fruits,butter,juice
274,dairy,fruits,bread
275,bread,salsa,egg
276,bread,juice,salad
277,egg,juice,fruits
278,salad,bread,juice
279,bread,salad,dairy
280,juice,egg,butter
281,fruits,salsa,egg
282,bread,egg,salad
283,juice,bread,salad
284,salad,dairy,salsa
285,butter,juice,salsa
286,dairy,salad,butter
287,juice,bread,salsa
288,dairy,butter,salsa
289,bread,salad,fruits
290,egg,salad,butter
291,salad,egg,fruits
292,dairy,fruits,butter
293,dairy,juice,salad
294,salad,butter,juice
295,juice,dairy,salsa
296,fruits,egg,salsa
297,juice,bread,salsa
298,salad,dairy,bread
299,juice,salsa,egg
300,salad,egg,fruits
301,fruits,salsa,bread
302,salad,butter,egg
303,salsa,salad,juice
304,egg,salad,fruits
305,salsa,salad,juice
306,dairy,fruits,juice
307,juice,fruits,salsa
308,egg,butter,bread
309,butter,egg,fruits
310,bread,egg,dairy
311,juice,salsa,fruits
312,butter,salad,juice
313,juice,dairy,egg
314,dairy,fruits,butter
315,salad,bread,salsa
316,bread,salsa,salad
317,salad,juice,salsa
318,bread,fruits,butter
319,salad,bread,dairy
320,salsa,egg,juice
321,juice,dairy,bread
322,bread,dairy,egg
323,butter,dairy,salad
324,fruits,bread,salsa
325,bread,dairy,salsa
326,butter,juice,dairy
327,juice,salsa,bread
328,fruits,salsa,juice
329,dairy,fruits,salad
330,fruits,dairy,bread
331,egg,butter,salad
332,bread,butter,salsa
333,bread,butter,juice
334,juice,butter,salad
335,juice,butter,fruits
